tahun;kd_desa;fitur_1;fitur_2;fitur_3;fitur_4;fitur_5;fitur_6;idm
2023;1903052003;33289000;472243856;0;14931000;170913000;0;0.7351
2023;1903052004;40300000;663091400;34600000;33275000;198000000;0;0.6757
2023;1903052005;30579000;347855000;83287500;97900000;140400000;0;0.689
2023;1903052006;27500000;543633409;0;85824000;93600000;215500000;0.7054
2023;1903052008;27107000;338770500;0;128228570;140400000;0;0.6638
2023;1903052009;14785000;474809000;92430000;21720000;223200000;50000000;0.6671
2023;1903052012;11158750;348908500;0;296627000;278944000;0;0.6924
2023;1903062001;15310000;349000550;421009000;0;79667500;0;0.887
2023;1903062002;38170000;311087165;120234500;126650000;122400000;0;0.7487
2023;1903062003;2500000;675731000;140750000;116000000;154800000;0;0.7571
2023;1903062004;0;577684000;0;2000000;187200000;0;0.7783
2023;1903062005;11430000;763725600;0;61175000;198000000;0;0.719
2023;1903072001;97784000;757637885;0;15000000;100800000;60000000;0.7083
2023;1903072002;37419271;613322156;0;12000000;147600000;0;0.6724
2023;1903072003;50600790;366877552;10000000;140200000;72000000;50000000;0.6717
2023;1903072004;32275850;392497000;0;337153074;183700000;0;0.9157
2023;1903072005;30950000;433409927;40999860;233085000;111600000;0;0.7995
2023;1903082001;34621800;852162000;0;0;251800000;0;0.6932
2023;1903082002;22640000;472000000;0;49170000;190800000;0;0.6175
2023;1904012003;1380000;424719400;0;220864500;260950000;200000000;0.8357
2023;1904012005;24371000;335835490;0;273264000;183600000;0;0.7305
2023;1904012006;0;463579823;206171843;70157500;123225000;0;0.7387
2023;1904012007;0;378506000;0;187202000;234000000;0;0.7319
2023;1904012008;0;590354799;25138500;116955000;223200000;0;0.7421
2023;1904012010;13675000;373970670;0;110950000;183600000;0;0.8241
2023;1904022004;15080000;455367100;0;212313500;180000000;50000000;0.8697
2023;1904022006;6000000;376099710;1500000;117625000;205200000;0;0.8376
2023;1904022007;29316000;623627970;0;211454500;287804000;0;0.7413
2023;1904022010;28425000;717080625;0;113962000;226800000;0;0.8168
2023;1904022012;15485000;355923000;0;123502800;180346000;0;0.8722
2023;1904022013;81563500;197812000;118047300;273541000;180000000;0;0.8578
2023;1904022014;13850000;293162540;0;201641500;198000000;0;0.8735
2023;1904022016;2900000;501253529;0;201613500;205200000;0;0.8243
2023;1904022018;33970000;567533325;20633100;66669000;177059500;50000000;0.8654
2023;1904022020;61322500;399145272;0;178835656;205200000;0;0.8824
2023;1904022021;21840000;335133300;0;132587895;115200000;0;0.7648
2023;1904032002;34973621;446821000;128500000;76184000;136800000;5000000;0.8263
2023;1904032003;25171760;447563500;28000000;205685000;212400000;0;0.8705
2023;1904032004;19576901;633079745;183748000;223141644;135499000;5000000;0.8808
2023;1904032005;0;321265000;19800000;113049000;206600000;5000000;0.8321
2023;1904032006;35717458;422830000;71316000;359220000;195951000;30000000;0.8232
2023;1904032007;13958161;783334000;0;98220000;109925000;0;0.8206
2023;1904032008;922000;493120000;26750000;337798600;121800000;0;0.957
2023;1904032009;0;666120000;0;204500000;122320000;0;0.9132
2023;1904032010;31080523;485883000;115910000;319529000;200100000;5000000;0.7762
2023;1904032011;10297174;305464000;0;130000000;201600000;5000000;0.8506
2023;1904032012;14705115;409248450;7920000;0;129600000;0;0.7784
2023;1904032013;13879260;580931000;0;0;164019000;5000000;0.7584
2023;1904042001;7060000;414308000;0;201220700;172800000;0;0.8698
2023;1904042002;16615000;321481175;132583500;137210000;165565500;0;0.8727
2023;1904042003;14400000;438522000;9908000;5000000;194400000;0;0.8557
2023;1904042004;11470000;625704200;68090000;77237380;180000000;0;0.804
2023;1904042005;0;628205125;81000000;0;96000000;0;0.784
2023;1904042006;11594895;269100260;18700000;190134450;212400000;0;0.9641
2023;1904042007;1900000;573783858;3100000;208381219;226800000;0;0.8322
2023;1904042008;623000;538169965;12771000;18000000;190800000;0;0.8232
2023;1904042009;12297000;200709163;169068601;195985000;172800000;0;0.8344
2023;1904042010;8357000;426751160;23342000;0;180000000;0;0.7646
2023;1904052001;22483000;131655328;0;233786000;180000000;100000000;0.8895
2023;1904052002;10098000;193598532;0;224102800;176400000;0;0.8598
2023;1904052003;10572500;397527437;47824775;252798000;126000000;0;0.9813
2023;1904052004;17508960;397869100;0;143917000;187200000;0;0.8356
2023;1904052005;22660000;582842591;0;203899850;216000000;0;0.8546
2023;1904052006;23154000;454008618;0;156612500;203597000;0;0.7648
2023;1904052008;13455000;384050932;0;227184608;183600000;0;0.8068
2023;1904052009;8150000;299559543;5000000;178105000;194400000;0;0.8075
2023;1904062001;30470000;537066077;0;209071000;263895000;5000000;0.8438
2023;1904062002;13140000;669907467;0;178345273;179056000;5000000;0.7887
2023;1904062003;16230000;532916028;0;215220000;266400000;5000000;0.8919
2023;1904062004;8900000;367960390;0;76715000;201920000;5000000;0.804
2023;1904062005;19685000;229480994;0;302162500;226800000;5000000;0.8765
2023;1904062006;28200000;570204726;87000000;316696000;268575000;5000000;0.8844
2023;1904062007;8525000;330505793;40000000;231553800;198000000;5000000;0.8002
2023;1904062008;7182000;273369062;0;156215000;195170000;107000000;0.7187
2023;1904062009;22280000;378750338;0;140508000;108846000;135000000;0.761
2023;1905012004;18877700;417767200;0;186650660;187200000;95000000;0.8248
2023;1905012005;43300000;377112812;56055000;216670000;90000000;250000000;0.8478
2023;1905012006;79935700;703156450;8800000;238053750;363600000;100000000;0.8494
2023;1905012007;24544000;430814537;0;203433000;194400000;0;0.8248
2023;1905022001;29316000;302554300;0;473840500;187200000;5000000;0.8602
2023;1905022002;31210000;391917400;13922000;171307000;198000000;5000000;0.821
2023;1905022003;30470000;275126500;0;384463000;219600000;5000000;0.734
2023;1905022004;52000000;684844000;0;313209000;153000000;5000000;0.7906
2023;1905022005;7820000;513994700;55577000;180352450;133200000;0;0.8262
2023;1905022006;27418000;472929078;0;196563500;172800000;5000000;0.8262
2023;1905022007;30150000;450695572;0;185065000;183600000;5000000;0.7652
2023;1905022008;24384000;470933000;36600000;71247000;122400000;0;0.7378
2023;1905022009;46307000;361490184;116965500;178536500;126000000;5000000;0.7617
2023;1905022010;74295210;547202294;1690000;256027436;136800000;5000000;0.8451
2023;1905022011;79441816;395407000;72264000;154912000;82800000;0;0.7746
2023;1905022012;46608000;422247750;101865000;287213900;237600000;105000000;0.8122
2023;1905022013;43336000;346267425;21472000;173737000;223200000;90000000;0.8062
2023;1905032001;64725000;510157000;18700000;247646000;277200000;0;0.8829
2023;1905032002;15335000;471336000;0;153713000;156791000;0;0.7352
2023;1905032003;33255000;502194000;0;155510000;79200000;0;0.8357
2023;1905032004;21185000;432282500;0;154050000;172800000;0;0.7275
2023;1905032005;29700000;491203000;0;76594000;165600000;0;0.7779
2023;1905032008;44030000;357362250;35080000;139706000;208800000;0;0.8378
2023;1905032009;16533000;552344550;0;166005000;216000000;0;0.821
2023;1905032018;35980000;513315400;0;40191000;180000000;0;0.8281
2023;1905032019;20826000;469746000;0;93000000;118800000;0;0.7187
